Time,SSS_GPS_LAT,SSS_GPS_LON,SSS_GPS_ALT,SSS_GPS_VEL_X,SSS_GPS_VEL_Y,SSS_GPS_HEADING,SSS_GPS_GROUNDSPEED,VEHICLE_LAT,VEHICLE_LON,VEHICLE_ALT,VEHICLE_ALT_DESIRED,VEHICLE_THROTTLE,VEHICLE_GROUNDSPEED,VEHICLE_DISTANCE_ERROR,MOTIONCONTROLLER_SPRING_LENGTH,MOTIONCONTROLLER_TETHER_OUT,MOTIONCONTROLLER_DRUM_SPEED,MOTIONCONTROLLER_DANCER_POSITION,VEHICLE_STATE,MOTIONCONTROLLER_STATE,SSS_GPS_STATE,POWERSUPPLY_STATE,COORDINATOR_STATE,MavLink Msg Rate,MavLink Unique Msg Rate
2018-07-03 09:58:53.615,39.735359825,-75.3992187083334,13.25,-0.00428419538424046,0.0302537211796879,351.94,0.0305555555555556,0,0,0,0,0,0,6250146.13503172,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:53.821,39.7353598583333,-75.3992187233333,13.243,-0.00633779987361772,-0.0123585406634389,207.15,0.0138888888888889,0,0,0,0,0,0,6250146.13539501,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:54.038,39.735359835,-75.3992187033333,13.241,-0.0527356286113448,0.0021088627567501,272.29,0.0527777777777778,0,0,0,0,0,0,6250146.13498537,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:54.244,39.7353598466667,-75.3992187216667,13.236,-0.0023204541299709,0.0499461259021228,357.34,0.05,0,0,0,0,0,0,6250146.13532645,0,1.782,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:54.459,39.735359845,-75.399218725,13.229,-0.00299231452989699,0.030408683448364,354.38,0.0305555555555556,0,0,0,0,0,0,6250146.13537505,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:54.664,39.7353598633333,-75.39921872,13.221,-0.00421240349128367,-0.0330660969565162,187.26,0.0333333333333333,0,0,0,0,0,0,6250146.13535821,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:54.88,39.7353598633333,-75.3992187316667,13.216,-0.000395598676617909,-0.0333309857759738,180.68,0.0333333333333333,0,0,0,0,0,0,6250146.13554897,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:55.085,39.7353598383333,-75.399218735,13.205,0.0253869211798753,0.025681054859289,44.67,0.0361111111111111,0,0,0,0,0,0,6250146.13551496,0,1.782,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:55.291,39.735359855,-75.3992187133333,13.195,-0.000650096733009317,-0.00551738812923242,186.72,0.00555555555555556,0,0,0,0,0,0,6250146.1352197,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:55.507,39.7353598583333,-75.3992187183333,13.19,-0.00445280273831451,0.0442208230333739,354.25,0.0444444444444444,0,0,0,0,0,0,6250146.13531326,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:55.713,39.7353598716667,-75.3992187233333,13.184,0.0192589721663238,0.0026792556522013,82.08,0.0194444444444444,0,0,0,0,0,0,6250146.13544222,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:55.928,39.73535987,-75.3992187066667,13.175,0.0260232783001775,0.036029121949984,35.84,0.0444444444444444,0,0,0,0,0,0,6250146.1351638,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:56.135,39.7353598683333,-75.3992187016667,13.177,0.0242058745125611,-0.00625105103819705,104.48,0.025,0,0,0,0,0,0,6250146.13507614,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:56.349,39.7353598516667,-75.3992187416667,13.184,0.0271031087915568,0.0141089854044038,62.5,0.0305555555555556,0,0,0,0,0,0,6250146.13567118,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:56.554,39.7353598383333,-75.3992187366667,13.186,-0.0299076539220215,-0.00625893059469718,258.18,0.0305555555555556,0,0,0,0,0,0,6250146.13554221,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:56.759,39.7353598133333,-75.399218745,13.192,-0.0172967274867003,0.0139517159784972,308.89,0.0222222222222222,0,0,0,0,0,0,6250146.13558996,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:56.974,39.7353598266667,-75.39921878,13.182,-0.0347390821353784,-0.0277219193846087,231.41,0.0444444444444444,0,0,0,0,0,0,6250146.13620945,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:57.193,39.7353598066667,-75.3992187716667,13.182,-0.0465827340799093,-0.00774513765180445,260.56,0.0472222222222222,0,0,0,0,0,0,6250146.13600238,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:57.398,39.7353598033333,-75.3992187733333,13.177,-0.0467547736424324,0.0244843821405687,297.64,0.0527777777777778,0,0,0,0,0,0,6250146.13601783,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:57.615,39.7353598,-75.3992187866667,13.172,0.0165541976507057,0.00193295574681603,83.34,0.0166666666666667,0,0,0,0,0,0,6250146.13622404,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:57.831,39.7353597833333,-75.3992187933333,13.159,0.0059032993675036,0.0271432495263415,12.27,0.0277777777777778,0,0,0,0,0,0,6250146.13627404,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:58.053,39.7353598133333,-75.399218805,13.152,0.00165762522722624,-0.0416336809532519,177.72,0.0416666666666667,0,0,0,0,0,0,6250146.13657102,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:58.273,39.7353597883333,-75.3992187683333,13.146,-0.0164753444651498,-0.0149127524370414,227.85,0.0222222222222222,0,0,0,0,0,0,6250146.13588297,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:58.491,39.735359805,-75.3992187566667,13.127,0.0110686607930242,0.000970329002156045,84.99,0.0111111111111111,0,0,0,0,0,0,6250146.13575121,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:58.697,39.7353598133333,-75.3992187166667,13.12,-0.0346150826545196,0.0102863209409289,286.55,0.0361111111111111,0,0,0,0,0,0,6250146.13512667,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:58.913,39.7353597866667,-75.3992186983333,13.113,-0.0153640151244016,0.0197217402694884,322.08,0.025,0,0,0,0,0,0,6250146.13473249,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:59.132,39.7353598116667,-75.39921871,13.1,0.00614391355186625,-0.0213560175772783,163.95,0.0222222222222222,0,0,0,0,0,0,6250146.13501177,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:58:59.353,39.7353597983333,-75.3992186633333,13.093,-0.0321580467175739,-0.0087733199201583,254.74,0.0333333333333333,0,0,0,0,0,0,6250146.13420151,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
